Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
No,2,Vegetarian,2024-09-28,PA008,Economy,1855.0,Perth,New York
No,0,Vegetarian,2024-10-01,PA008,Business Class,634.8,Perth,New York
No,3,Nut Free,2024-03-04,PA007,Business Class,458.4,New York,Perth
No,0,,2024-02-25,PA010,Premium Economy,1435.0,Tokyo,New York
No,2,Vegan,2024-03-29,PA004,Economy,2730.0,Perth,London
No,2,Egg Free,2024-06-07,PA005,Business Class,294.0,London,Tokyo
No,1,Vegetarian,2024-06-30,PA009,First Class,236.0,New York,Tokyo
No,2,Vegan,2024-08-12,PA011,Economy,2570.0,Perth,Tokyo
No,2,,2024-11-05,PA010,First Class,397.0,Tokyo,New York
No,2,Egg Free,2024-03-19,PA003,First Class,585.0,London,Perth
No,3,Nut Free,2024-02-19,PA011,Premium Economy,630.0,Perth,Tokyo
No,3,Dairy Free,2024-03-10,PA011,Business Class,556.8,Perth,Tokyo
No,3,Nut Free,2024-12-21,PA006,Business Class,307.2,Tokyo,London
No,2,Dairy Free,2024-12-18,PA002,Premium Economy,917.5,New York,London
No,1,Vegetarian,2024-06-16,PA012,Business Class,555.6,Tokyo,Perth
No,0,Egg Free,2024-03-07,PA006,Business Class,811.1999999999999,Tokyo,London
No,0,Nut Free,2024-07-29,PA008,Economy,2225.0,Perth,New York
No,0,Egg Free,2024-07-04,PA004,Economy,2705.0,Perth,London
No,1,Dairy Free,2024-01-06,PA011,Premium Economy,632.5,Perth,Tokyo
No,2,Dairy Free,2024-08-31,PA012,Premium Economy,1207.5,Tokyo,Perth
No,2,Egg Free,2024-03-26,PA008,Business Class,484.79999999999995,Perth,New York
No,2,Vegan,2024-11-17,PA009,First Class,578.0,New York,Tokyo
No,2,Vegan,2024-02-12,PA010,Premium Economy,842.5,Tokyo,New York
No,1,Egg Free,2024-05-05,PA012,Business Class,788.4,Tokyo,Perth
No,2,Egg Free,2024-08-30,PA005,First Class,417.0,London,Tokyo
No,0,Vegan,2024-12-24,PA006,Premium Economy,1710.0,Tokyo,London
No,1,Vegetarian,2024-05-19,PA004,Business Class,811.1999999999999,Perth,London
No,3,Nut Free,2024-03-21,PA002,First Class,230.0,New York,London
No,2,,2024-10-06,PA001,Business Class,349.2,London,New York
No,3,,2024-01-06,PA008,Premium Economy,820.0,Perth,New York
No,2,Vegan,2024-06-01,PA006,First Class,416.0,Tokyo,London
No,1,Dairy Free,2024-11-06,PA001,Business Class,546.0,London,New York
No,0,Nut Free,2024-03-16,PA011,Economy,3210.0,Perth,Tokyo
No,3,Vegan,2024-05-16,PA009,Economy,1540.0,New York,Tokyo
No,1,Egg Free,2024-05-09,PA012,Economy,3325.0,Tokyo,Perth
No,2,Vegan,2024-05-23,PA004,Economy,3375.0,Perth,London
No,2,Egg Free,2024-12-18,PA002,Economy,2910.0,New York,London
No,2,Egg Free,2024-02-02,PA012,Economy,3155.0,Tokyo,Perth
No,3,Egg Free,2024-10-20,PA002,Premium Economy,1547.5,New York,London
No,1,Egg Free,2024-11-26,PA006,Economy,1550.0,Tokyo,London
No,0,Vegan,2024-11-04,PA008,Business Class,764.4,Perth,New York
No,0,Vegan,2024-09-14,PA003,Business Class,654.0,London,Perth
No,0,Dairy Free,2024-03-17,PA004,Premium Economy,1230.0,Perth,London
No,1,Nut Free,2024-12-31,PA006,Business Class,783.6,Tokyo,London
No,3,Vegetarian,2024-05-13,PA010,First Class,493.0,Tokyo,New York
No,3,Vegan,2024-08-07,PA004,Economy,2025.0,Perth,London
No,3,,2024-12-05,PA007,First Class,523.0,New York,Perth
No,0,Vegan,2024-11-29,PA010,Business Class,325.2,Tokyo,New York
No,0,Vegetarian,2024-05-30,PA003,Business Class,828.0,London,Perth
No,3,Dairy Free,2024-03-06,PA010,First Class,563.0,Tokyo,New York
No,2,Nut Free,2024-04-21,PA001,First Class,202.0,London,New York
No,3,Egg Free,2024-08-07,PA006,First Class,468.0,Tokyo,London
No,3,Vegan,2024-05-05,PA002,Premium Economy,850.0,New York,London
No,0,Vegetarian,2024-06-10,PA004,Economy,1710.0,Perth,London
No,3,Vegan,2024-05-11,PA009,Premium Economy,1497.5,New York,Tokyo
No,3,Egg Free,2024-11-21,PA007,Business Class,715.1999999999999,New York,Perth
No,3,Dairy Free,2024-06-12,PA007,Premium Economy,817.5,New York,Perth
No,1,Vegan,2024-10-14,PA005,Economy,1490.0,London,Tokyo
No,3,Nut Free,2024-03-31,PA010,Premium Economy,1282.5,Tokyo,New York
No,1,Egg Free,2024-02-14,PA009,First Class,473.0,New York,Tokyo
No,1,Dairy Free,2024-09-04,PA012,Premium Economy,1177.5,Tokyo,Perth
No,3,Egg Free,2024-06-29,PA005,Business Class,639.6,London,Tokyo
No,0,Dairy Free,2024-06-18,PA004,First Class,443.0,Perth,London
No,2,Nut Free,2024-08-04,PA006,Business Class,832.8,Tokyo,London
No,0,Nut Free,2024-08-03,PA005,First Class,590.0,London,Tokyo
No,1,Dairy Free,2024-03-02,PA003,Business Class,439.2,London,Perth
No,0,Nut Free,2024-07-07,PA004,Business Class,242.39999999999998,Perth,London
No,0,Nut Free,2024-10-18,PA010,Premium Economy,1642.5,Tokyo,New York
No,1,Nut Free,2024-07-10,PA012,First Class,287.0,Tokyo,Perth
No,3,Vegetarian,2024-06-15,PA009,First Class,500.0,New York,Tokyo
No,3,Egg Free,2024-03-02,PA006,Economy,3070.0,Tokyo,London
No,3,Vegetarian,2024-03-17,PA012,Premium Economy,587.5,Tokyo,Perth
No,1,Nut Free,2024-10-28,PA012,Economy,1235.0,Tokyo,Perth
No,1,,2024-11-06,PA001,Premium Economy,1270.0,London,New York
No,2,Nut Free,2024-08-13,PA004,Premium Economy,735.0,Perth,London
No,3,Dairy Free,2024-05-22,PA007,Economy,2645.0,New York,Perth
No,3,Egg Free,2024-05-18,PA008,Business Class,271.2,Perth,New York
No,3,Egg Free,2024-04-01,PA005,Premium Economy,1597.5,London,Tokyo
No,3,,2024-07-20,PA006,First Class,215.0,Tokyo,London
No,0,Vegan,2024-02-15,PA012,First Class,208.0,Tokyo,Perth
No,3,Nut Free,2024-02-08,PA009,Premium Economy,610.0,New York,Tokyo
No,3,Dairy Free,2024-03-05,PA001,Economy,2685.0,London,New York
No,0,Dairy Free,2024-06-17,PA004,Premium Economy,1487.5,Perth,London
No,0,Dairy Free,2024-09-08,PA005,Business Class,422.4,London,Tokyo
No,0,Vegetarian,2024-10-01,PA005,Economy,1225.0,London,Tokyo
No,1,Dairy Free,2024-09-10,PA006,First Class,670.0,Tokyo,London
No,1,Dairy Free,2024-05-25,PA001,Economy,1745.0,London,New York
No,0,Nut Free,2024-09-27,PA008,Economy,1770.0,Perth,New York
No,0,Dairy Free,2024-10-08,PA008,Economy,3090.0,Perth,New York
No,0,Vegan,2024-11-15,PA003,Premium Economy,735.0,London,Perth
No,2,Egg Free,2024-01-29,PA004,Business Class,435.59999999999997,Perth,London
No,2,Vegan,2024-01-26,PA001,First Class,381.0,London,New York
No,2,Egg Free,2024-04-20,PA003,Business Class,688.8,London,Perth
No,1,,2024-08-12,PA005,Economy,1050.0,London,Tokyo
No,0,Vegetarian,2024-07-04,PA003,Premium Economy,1307.5,London,Perth
No,1,Egg Free,2024-04-01,PA001,Business Class,512.4,London,New York
No,3,Nut Free,2024-04-21,PA004,Business Class,679.1999999999999,Perth,London
No,0,Vegetarian,2024-01-30,PA004,Business Class,246.0,Perth,London
No,1,Dairy Free,2024-02-11,PA005,Premium Economy,1567.5,London,Tokyo
No,1,Nut Free,2024-11-17,PA009,First Class,340.0,New York,Tokyo
No,1,Vegetarian,2024-08-08,PA012,First Class,426.0,Tokyo,Perth
No,3,Dairy Free,2024-12-20,PA002,Business Class,574.8,New York,London
No,3,Dairy Free,2024-07-02,PA006,First Class,522.0,Tokyo,London
No,3,Egg Free,2024-10-25,PA010,Economy,1170.0,Tokyo,New York
No,0,Vegetarian,2024-11-18,PA005,Economy,3305.0,London,Tokyo
No,3,Dairy Free,2024-06-02,PA011,Premium Economy,1177.5,Perth,Tokyo
No,3,Nut Free,2024-08-09,PA009,First Class,612.0,New York,Tokyo
No,2,,2024-08-24,PA010,Economy,2145.0,Tokyo,New York
No,1,Vegetarian,2024-11-11,PA008,Economy,2980.0,Perth,New York
No,1,Vegan,2024-11-02,PA011,First Class,441.0,Perth,Tokyo
No,2,Dairy Free,2024-04-06,PA011,Premium Economy,960.0,Perth,Tokyo
No,1,,2024-01-03,PA007,Economy,3300.0,New York,Perth
No,0,Vegetarian,2024-01-02,PA009,Business Class,793.1999999999999,New York,Tokyo
No,0,,2024-09-17,PA006,Business Class,543.6,Tokyo,London
No,2,,2024-03-11,PA009,Business Class,446.4,New York,Tokyo
No,2,Egg Free,2024-10-11,PA002,Business Class,602.4,New York,London
No,2,Nut Free,2024-10-31,PA011,Economy,2915.0,Perth,Tokyo
No,2,Vegan,2024-08-25,PA001,First Class,673.0,London,New York
No,0,Dairy Free,2024-08-15,PA003,Premium Economy,555.0,London,Perth
No,1,,2024-10-18,PA009,Premium Economy,1372.5,New York,Tokyo
No,2,Nut Free,2024-03-20,PA008,First Class,357.0,Perth,New York
