Class,Month,Sales,Target,Difference to Target
BC,1,48555.6,40000,8555.599999999999
BC,2,46335.6,40500,5835.5999999999985
BC,3,47875.2,41000,6875.199999999997
BC,4,38233.2,42500,-4266.800000000003
BC,5,43833.6,43000,833.5999999999985
BC,6,46538.4,43500,3038.4000000000015
BC,7,40258.8,46000,-5741.199999999997
BC,8,41468.4,46500,-5031.5999999999985
BC,9,42054.0,47000,-4946.0
BC,10,43689.6,48000,-4310.4000000000015
BC,11,39372.0,48500,-9128.0
BC,12,45348.0,49000,-3652.0
E,1,193960.0,120000,73960.0
E,2,145665.0,130000,15665.0
E,3,152315.0,140000,12315.0
E,4,224415.0,160000,64415.0
E,5,171610.0,170000,1610.0
E,6,149725.0,180000,-30275.0
E,7,172425.0,190000,-17575.0
E,8,209625.0,200000,9625.0
E,9,200960.0,210000,-9040.0
E,10,186185.0,220000,-33815.0
E,11,154595.0,230000,-75405.0
E,12,188015.0,240000,-51985.0
FC,1,36081.0,31000,5081.0
FC,2,30968.0,31500,-532.0
FC,3,31829.0,32000,-171.0
FC,4,31333.0,34000,-2667.0
FC,5,42898.0,34500,8398.0
FC,6,31440.0,35000,-3560.0
FC,7,38941.0,37000,1941.0
FC,8,32820.0,37500,-4680.0
FC,9,27724.0,38000,-10276.0
FC,10,32500.0,39000,-6500.0
FC,11,34023.0,39500,-5477.0
FC,12,43588.0,40000,3588.0
PE,1,67297.5,85000,-17702.5
PE,2,69222.5,86000,-16777.5
PE,3,84357.5,87000,-2642.5
PE,4,81522.5,88000,-6477.5
PE,5,85065.0,89000,-3935.0
PE,6,85735.0,90000,-4265.0
PE,7,97490.0,92000,5490.0
PE,8,106852.5,93000,13852.5
PE,9,87590.0,95000,-7410.0
PE,10,94135.0,98000,-3865.0
PE,11,85970.0,99000,-13030.0
PE,12,100485.0,100000,485.0
