StaffID,Salary,Max Tax Rate,20% rate tax paid,40% rate tax paid,45% rate tax paid,Total Tax Paid
1533,30102.03,20% rate,3506.406,,,3506.406
1339,96427.35,40% rate,7540.0,18462.940000000002,,26002.940000000002
2291,108679.86999999997,40% rate,7540.0,23363.94799999999,,30903.94799999999
2038,51412.259999999995,40% rate,7540.0,456.90399999999795,,7996.903999999998
2810,52118.42,40% rate,7540.0,739.3679999999994,,8279.367999999999
1001,166864.47999999998,45% rate,7540.0,29948.0,18776.015999999992,56264.01599999999
2536,80784.98999999999,40% rate,7540.0,12205.995999999997,,19745.996
2943,34013.810000000005,20% rate,4288.7620000000015,,,4288.7620000000015
2475,84755.84000000001,40% rate,7540.0,13794.336000000005,,21334.336000000003
1520,164689.7,45% rate,7540.0,29948.0,17797.365000000005,55285.365000000005
1081,168706.68,45% rate,7540.0,29948.0,19605.005999999998,57093.005999999994
1445,151611.77000000005,45% rate,7540.0,29948.0,11912.296500000022,49400.296500000026
2512,169286.01,45% rate,7540.0,29948.0,19865.704500000003,57353.70450000001
1519,108441.9,40% rate,7540.0,23268.76,,30808.76
1470,159581.09999999998,45% rate,7540.0,29948.0,15498.49499999999,52986.49499999999
2309,184251.79,45% rate,7540.0,29948.0,26600.305500000006,64088.3055
2453,17948.32,20% rate,1075.664,,,1075.664
2009,100639.53000000001,40% rate,7540.0,20147.812000000005,,27687.812000000005
1680,133665.14,45% rate,7540.0,29948.0,3836.3130000000065,41324.31300000001
2319,132595.6,45% rate,7540.0,29948.0,3355.0200000000027,40843.020000000004
1321,98253.09,40% rate,7540.0,19193.236,,26733.236
1874,191452.79,45% rate,7540.0,29948.0,29840.755500000003,67328.7555
1060,32639.079999999998,20% rate,4013.816,,,4013.816
1085,26941.5,20% rate,2874.3,,,2874.3
2732,133151.58000000002,45% rate,7540.0,29948.0,3605.2110000000075,41093.21100000001
2012,119187.82999999999,40% rate,7540.0,27567.131999999998,,35107.132
1334,188019.31999999998,45% rate,7540.0,29948.0,28295.693999999992,65783.69399999999
2029,168761.94,45% rate,7540.0,29948.0,19629.873000000003,57117.87300000001
2677,164259.04999999996,45% rate,7540.0,29948.0,17603.572499999984,55091.57249999998
1293,30175.090000000004,20% rate,3521.018000000001,,,3521.018000000001
2078,175830.75999999995,45% rate,7540.0,29948.0,22810.84199999998,60298.841999999975
1989,137628.61000000002,45% rate,7540.0,29948.0,5619.874500000007,43107.874500000005
1845,84555.75,40% rate,7540.0,13714.300000000001,,21254.300000000003
2747,173601.1,45% rate,7540.0,29948.0,21807.495000000003,59295.495
1777,123029.29000000001,40% rate,7540.0,29103.716000000004,,36643.716
1730,80466.87000000001,40% rate,7540.0,12078.748000000005,,19618.748000000007
1910,156315.22,45% rate,7540.0,29948.0,14028.849,51516.849
1342,69569.28,40% rate,7540.0,7719.7119999999995,,15259.712
2585,139724.53999999998,45% rate,7540.0,29948.0,6563.042999999991,44051.04299999999
2315,46430.22,20% rate,6772.044000000001,,,6772.044000000001
2178,105327.6,40% rate,7540.0,22023.040000000005,,29563.040000000005
1595,40529.03,20% rate,5591.8060000000005,,,5591.8060000000005
2247,17847.450000000004,20% rate,1055.490000000001,,,1055.490000000001
1747,189156.73,45% rate,7540.0,29948.0,28807.528500000004,66295.5285
1232,181794.68999999997,45% rate,7540.0,29948.0,25494.610499999988,62982.61049999999
1839,79315.17,40% rate,7540.0,11618.068,,19158.068
2331,57842.84999999999,40% rate,7540.0,3029.1399999999967,,10569.139999999996
2638,189957.69999999998,45% rate,7540.0,29948.0,29167.964999999993,66655.965
1754,16359.669999999998,20% rate,757.9339999999997,,,757.9339999999997
2458,25426.02,20% rate,2571.204,,,2571.204
1822,154118.05,45% rate,7540.0,29948.0,13040.122499999996,50528.1225
2679,166088.13999999998,45% rate,7540.0,29948.0,18426.662999999993,55914.66299999999
1568,81819.35,40% rate,7540.0,12619.740000000003,,20159.740000000005
1642,53115.98999999999,40% rate,7540.0,1138.3959999999963,,8678.395999999997
1444,167530.28,45% rate,7540.0,29948.0,19075.626,56563.626000000004
1709,48651.200000000004,20% rate,7216.240000000002,,,7216.240000000002
2169,154523.51999999996,45% rate,7540.0,29948.0,13222.583999999983,50710.58399999998
2284,149509.19,45% rate,7540.0,29948.0,10966.135500000002,48454.135500000004
2661,15019.23,20% rate,489.84599999999995,,,489.84599999999995
1802,60162.73,40% rate,7540.0,3957.0920000000015,,11497.092
1430,78173.98,40% rate,7540.0,11161.591999999999,,18701.591999999997
1537,134248.23000000004,45% rate,7540.0,29948.0,4098.703500000018,41586.70350000002
2197,98676.95999999999,40% rate,7540.0,19362.783999999996,,26902.783999999996
2405,91704.54000000002,40% rate,7540.0,16573.81600000001,,24113.81600000001
2066,107059.16,40% rate,7540.0,22715.664000000004,,30255.664000000004
2246,162949.95,45% rate,7540.0,29948.0,17014.477500000005,54502.47750000001
2133,14052.920000000002,20% rate,296.5840000000004,,,296.5840000000004
2894,69213.02,40% rate,7540.0,7577.208000000002,,15117.208000000002
1476,52371.78,40% rate,7540.0,840.7119999999995,,8380.712
2953,160944.31999999998,45% rate,7540.0,29948.0,16111.94399999999,53599.94399999999
1162,110332.57,40% rate,7540.0,24025.028000000006,,31565.028000000006
2062,64628.89,40% rate,7540.0,5743.5560000000005,,13283.556
2077,68729.93,40% rate,7540.0,7383.971999999998,,14923.971999999998
2551,97607.73,40% rate,7540.0,18935.092,,26475.092
2431,61977.88,40% rate,7540.0,4683.151999999999,,12223.151999999998
2059,38560.4,20% rate,5198.080000000001,,,5198.080000000001
1938,70864.23,40% rate,7540.0,8237.692,,15777.692
2727,111320.20000000001,40% rate,7540.0,24420.080000000005,,31960.080000000005
1525,51106.85,40% rate,7540.0,334.73999999999944,,7874.74
1076,36238.45,20% rate,4733.69,,,4733.69
1636,32503.93,20% rate,3986.786,,,3986.786
2348,122837.34000000003,40% rate,7540.0,29026.936000000012,,36566.936000000016
2658,52669.490000000005,40% rate,7540.0,959.7960000000021,,8499.796000000002
2679,19836.039999999997,20% rate,1453.2079999999996,,,1453.2079999999996
2554,86313.69,40% rate,7540.0,14417.476000000002,,21957.476000000002
2655,78183.49,40% rate,7540.0,11165.396000000002,,18705.396
1841,138567.96000000002,45% rate,7540.0,29948.0,6042.582000000009,43530.58200000001
2101,143804.15999999997,45% rate,7540.0,29948.0,8398.871999999988,45886.87199999999
2592,179369.47,45% rate,7540.0,29948.0,24403.2615,61891.2615
