Flight Number,Flight Date_x,Class,Capacity,Date,Total Seats booked over time,Capacity %
PA001,2024-03-05,First,32,2024-02-28,27,84.375
PA001,2024-03-05,Business,40,2024-02-28,17,42.5
PA001,2024-03-05,Premium Economy,64,2024-02-28,2,3.125
PA001,2024-03-05,Economy,160,2024-02-28,0,0.0
PA002,2024-03-30,First,32,2024-02-28,1,3.125
PA002,2024-03-30,Business,40,2024-02-28,11,27.500000000000004
PA002,2024-03-30,Premium Economy,64,2024-02-28,13,20.3125
PA002,2024-03-30,Economy,160,2024-02-28,0,0.0
PA003,2024-03-06,First,32,2024-02-28,5,15.625
PA003,2024-03-06,Business,40,2024-02-28,7,17.5
PA003,2024-03-06,Premium Economy,64,2024-02-28,18,28.125
PA003,2024-03-06,Economy,160,2024-02-28,7,4.375
PA004,2024-03-17,First,32,2024-02-28,0,0.0
PA004,2024-03-17,Business,40,2024-02-28,0,0.0
PA004,2024-03-17,Premium Economy,64,2024-02-28,3,4.6875
PA004,2024-03-17,Economy,160,2024-02-28,11,6.875000000000001
PA005,2024-03-22,First,32,2024-02-28,0,0.0
PA005,2024-03-22,Business,40,2024-02-28,1,2.5
PA005,2024-03-22,Premium Economy,64,2024-02-28,12,18.75
PA005,2024-03-22,Economy,160,2024-02-28,29,18.125
PA006,2024-03-27,First,32,2024-02-28,0,0.0
PA006,2024-03-27,Business,40,2024-02-28,2,5.0
PA006,2024-03-27,Premium Economy,64,2024-02-28,14,21.875
PA006,2024-03-27,Economy,160,2024-02-28,16,10.0
PA007,2024-03-24,First,32,2024-02-28,30,93.75
PA007,2024-03-24,Business,40,2024-02-28,10,25.0
PA007,2024-03-24,Premium Economy,64,2024-02-28,8,12.5
PA007,2024-03-24,Economy,160,2024-02-28,7,4.375
PA008,2024-03-30,First,32,2024-02-28,7,21.875
PA008,2024-03-30,Business,40,2024-02-28,21,52.5
PA008,2024-03-30,Premium Economy,64,2024-02-28,21,32.8125
PA008,2024-03-30,Economy,160,2024-02-28,0,0.0
PA009,2024-03-13,First,32,2024-02-28,3,9.375
PA009,2024-03-13,Business,40,2024-02-28,2,5.0
PA009,2024-03-13,Premium Economy,64,2024-02-28,21,32.8125
PA009,2024-03-13,Economy,160,2024-02-28,21,13.125
PA010,2024-03-29,First,32,2024-02-28,0,0.0
PA010,2024-03-29,Business,40,2024-02-28,1,2.5
PA010,2024-03-29,Premium Economy,64,2024-02-28,16,25.0
PA010,2024-03-29,Economy,160,2024-02-28,24,15.0
PA011,2024-03-01,First,32,2024-02-28,12,37.5
PA011,2024-03-01,Business,40,2024-02-28,1,2.5
PA011,2024-03-01,Premium Economy,64,2024-02-28,13,20.3125
PA011,2024-03-01,Economy,160,2024-02-28,21,13.125
PA012,2024-03-10,First,32,2024-02-28,19,59.375
PA012,2024-03-10,Business,40,2024-02-28,28,70.0
PA012,2024-03-10,Premium Economy,64,2024-02-28,6,9.375
PA012,2024-03-10,Economy,160,2024-02-28,0,0.0
